# Aluminum phonon density of states. 
# x axis: energy in meV
# Energy(meV)     DOS
0.000000000000000000e+00 0.000000000000000000e+00
8.172059584022457746e-02 5.057952098982194404e-07
1.634411916804491549e-01 2.023180839592877761e-06
2.451617875206737462e-01 4.552156889083974857e-06
3.268823833608983098e-01 8.092723358371511046e-06
4.086029792011228734e-01 1.264488024745548506e-05
4.903235750413474925e-01 1.820862755633589943e-05
5.720441708815720006e-01 2.478396528501274231e-05
6.537647667217966196e-01 3.237089343348604418e-05
7.354853625620212387e-01 4.096941200175577795e-05
8.172059584022457468e-01 5.057952098982194022e-05
8.989265542424703659e-01 6.120122039768454455e-05
9.806471500826949850e-01 7.283451022534359772e-05
1.062367745922919493e+00 8.547939047279907261e-05
1.144088341763144001e+00 9.913586114005096923e-05
1.225808937603368731e+00 1.138039222270993689e-04
1.307529533443593239e+00 1.294835737339441767e-04
1.389250129283817747e+00 1.461748156605853792e-04
1.470970725124042477e+00 1.638776480070231118e-04
1.552691320964266986e+00 1.825920707732572119e-04
1.634411916804491494e+00 2.023180839592877609e-04
1.716132512644716224e+00 2.230556875651147858e-04
1.797853108484940732e+00 2.448048815907381782e-04
1.879573704325165240e+00 2.675656660361580195e-04
1.961294300165389970e+00 2.913380409013743909e-04
2.043014896005614478e+00 3.161220061863870756e-04
2.124735491845838986e+00 3.419175618911962904e-04
2.206456087686063494e+00 3.687247080158018728e-04
2.288176683526288002e+00 3.965434445602038769e-04
2.369897279366512954e+00 4.253737715244025738e-04
2.451617875206737462e+00 4.552156889083974756e-04
2.533338471046961971e+00 4.860691967121888533e-04
2.615059066887186479e+00 5.179342949357767069e-04
2.696779662727410987e+00 5.508109835791609281e-04
2.778500258567635495e+00 5.846992626423415168e-04
2.860220854407860003e+00 6.195991321253186898e-04
2.941941450248084955e+00 6.555105920280924472e-04
3.023662046088309463e+00 6.924336423506624637e-04
3.105382641928533971e+00 7.303682830930288477e-04
3.187103237768758479e+00 7.693145142551917077e-04
3.268823833608982987e+00 8.092723358371510436e-04
3.350544429449207495e+00 8.502417478389067470e-04
3.432265025289432447e+00 8.922227502604591432e-04
3.513985621129656955e+00 9.352153431018076900e-04
3.595706216969881464e+00 9.792195263629527129e-04
3.677426812810105972e+00 1.024235300043894320e-03
3.759147408650330480e+00 1.070262664144632078e-03
3.840868004490554988e+00 1.117301618665166420e-03
3.922588600330779940e+00 1.165352163605497563e-03
4.004309196171004004e+00 1.214414298965624424e-03
4.086029792011228956e+00 1.264488024745548302e-03
4.167750387851453020e+00 1.315573340945268331e-03
4.249470983691677972e+00 1.367670247564785162e-03
4.331191579531902924e+00 1.420778744604098576e-03
4.412912175372126988e+00 1.474898832063207491e-03
4.494632771212351940e+00 1.530030509942113858e-03
4.576353367052576004e+00 1.586173778240815508e-03
4.658073962892800957e+00 1.643328636959314609e-03
4.739794558733025909e+00 1.701495086097610295e-03
4.821515154573249973e+00 1.760673125655701481e-03
4.903235750413474925e+00 1.820862755633589902e-03
4.984956346253698989e+00 1.882063976031274040e-03
5.066676942093923941e+00 1.944276786848755413e-03
5.148397537934148005e+00 2.007501188086032503e-03
5.230118133774372957e+00 2.071737179743106828e-03
5.311838729614597909e+00 2.136984761819977086e-03
5.393559325454821973e+00 2.203243934316643712e-03
5.475279921295046925e+00 2.270514697233106706e-03
5.557000517135270989e+00 2.338797050569366067e-03
5.638721112975495942e+00 2.408090994325422229e-03
5.720441708815720006e+00 2.478396528501274759e-03
5.802162304655944958e+00 2.549713653096923657e-03
5.883882900496169910e+00 2.622042368112369789e-03
5.965603496336393974e+00 2.695382673547610988e-03
6.047324092176618926e+00 2.769734569402649855e-03
6.129044688016842990e+00 2.845098055677483789e-03
6.210765283857067942e+00 2.921473132372115391e-03
6.292485879697292894e+00 2.998859799486542927e-03
6.374206475537516958e+00 3.077258057020766831e-03
6.455927071377741910e+00 3.156667904974787102e-03
6.537647667217965974e+00 3.237089343348604174e-03
6.619368263058190927e+00 3.318522372142217614e-03
6.701088858898414991e+00 3.400966991355626988e-03
6.782809454738639943e+00 3.484423200988833597e-03
6.864530050578864895e+00 3.568891001041836573e-03
6.946250646419088959e+00 3.654370391514635049e-03
7.027971242259313911e+00 3.740861372407230760e-03
7.109691838099537975e+00 3.828363943719621972e-03
7.191412433939762927e+00 3.916878105451810851e-03
7.273133029779986991e+00 4.006403857603795665e-03
7.354853625620211943e+00 4.096941200175577280e-03
7.436574221460436895e+00 4.188490133167154829e-03
7.518294817300660959e+00 4.281050656578528311e-03
7.600015413140885912e+00 4.374622770409699463e-03
7.681736008981109975e+00 4.469206474660665680e-03
7.763456604821334928e+00 4.564801769331429566e-03
7.845177200661559880e+00 4.661408654421990254e-03
7.926897796501783944e+00 4.759027129932346008e-03
8.008618392342008008e+00 4.857657195862497695e-03
8.090338988182233848e+00 4.957298852212448786e-03
8.172059584022457912e+00 4.874278739889444968e-03
8.253780179862681976e+00 4.934835831848658795e-03
8.335500775702906040e+00 5.010528244708170598e-03
8.417221371543131880e+00 5.103837656694729802e-03
8.498941967383355944e+00 5.207688445249374944e-03
8.580662563223580008e+00 5.303867446057110822e-03
8.662383159063805849e+00 5.385277261169798407e-03
8.744103754904029913e+00 5.453847313073540565e-03
8.825824350744253977e+00 5.521248197512825841e-03
8.907544946584479817e+00 5.600164472916102469e-03
8.989265542424703881e+00 5.701191045452629058e-03
9.070986138264927945e+00 5.814606541329583531e-03
9.152706734105152009e+00 5.924432670765093084e-03
9.234427329945377849e+00 6.011128550899130264e-03
9.316147925785601913e+00 6.063833752559133310e-03
9.397868521625825977e+00 6.089461645632866620e-03
9.479589117466051817e+00 6.108464089495666167e-03
9.561309713306275881e+00 6.150641749727988987e-03
9.643030309146499945e+00 6.239232752381367215e-03
9.724750904986724009e+00 6.382252518177104240e-03
9.806471500826949850e+00 6.565528529322979708e-03
9.888192096667173914e+00 6.767002913362048580e-03
9.969912692507397978e+00 6.973670096366728355e-03
1.005163328834762382e+01 7.176371880173924162e-03
1.013335388418784788e+01 7.377169441777093467e-03
1.021507448002807195e+01 7.576403974156593717e-03
1.029679507586829601e+01 7.759168073727343989e-03
1.037851567170852185e+01 7.915969471487187964e-03
1.046023626754874591e+01 8.033959244768571969e-03
1.054195686338896998e+01 8.089479427002312095e-03
1.062367745922919582e+01 8.070495160411713872e-03
1.070539805506941988e+01 7.995232501310811993e-03
1.078711865090964395e+01 7.906811067872854606e-03
1.086883924674986801e+01 7.858597931818147100e-03
1.095055984259009385e+01 7.887658105040457751e-03
1.103228043843031791e+01 8.010594545129036750e-03
1.111400103427054198e+01 8.227775351542792812e-03
1.119572163011076782e+01 8.519043230537103745e-03
1.127744222595099188e+01 8.863456857227735436e-03
1.135916282179121595e+01 9.244959800460758950e-03
1.144088341763144001e+01 9.633751986563776279e-03
1.152260401347166585e+01 9.992831949792549059e-03
1.160432460931188992e+01 1.029937961588312835e-02
1.168604520515211398e+01 1.052891585587790307e-02
1.176776580099233982e+01 1.063765019248347730e-02
1.184948639683256388e+01 1.061286599157028505e-02
1.193120699267278795e+01 1.050885277999993699e-02
1.201292758851301201e+01 1.037920332596117476e-02
1.209464818435323785e+01 1.026646170833485708e-02
1.217636878019346192e+01 1.022932342591947701e-02
1.225808937603368598e+01 1.032328854305459599e-02
1.233980997187391182e+01 1.056602243562393233e-02
1.242153056771413588e+01 1.093355362131604933e-02
1.250325116355435995e+01 1.139776062338348876e-02
1.258497175939458579e+01 1.190617530575234333e-02
1.266669235523480985e+01 1.239158432036184879e-02
1.274841295107503392e+01 1.280148624247923195e-02
1.283013354691525798e+01 1.309812734667865734e-02
1.291185414275548382e+01 1.327905234086297799e-02
1.299357473859570788e+01 1.334189462926453629e-02
1.307529533443593195e+01 1.330600387645137182e-02
1.315701593027615779e+01 1.321183888980156582e-02
1.323873652611638185e+01 1.312779772494793683e-02
1.332045712195660592e+01 1.312615643471490463e-02
1.340217771779682998e+01 1.323692629921557375e-02
1.348389831363705582e+01 1.348466388034322283e-02
1.356561890947727989e+01 1.386106958185453347e-02
1.364733950531750395e+01 1.433740741190128037e-02
1.372906010115772979e+01 1.486059678397286428e-02
1.381078069699795385e+01 1.537306103122451466e-02
1.389250129283817792e+01 1.584172739468982932e-02
1.397422188867840198e+01 1.625087740674801065e-02
1.405594248451862782e+01 1.662599698656085090e-02
1.413766308035885189e+01 1.696618212989186442e-02
1.421938367619907595e+01 1.726274460511733472e-02
1.430110427203930179e+01 1.753977193452055036e-02
1.438282486787952585e+01 1.781207482998939731e-02
1.446454546371974992e+01 1.808192974715962589e-02
1.454626605955997398e+01 1.832854677745184707e-02
1.462798665540019982e+01 1.856962579748797082e-02
1.470970725124042389e+01 1.883683119675633524e-02
